model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage
Tata Tiago,Orange,Electric,Manual,877704.09,2024-01-21,2024-02-01,West Bengal,13.4
Tata Altroz,Silver,CNG,Manual,1028977.69,2024-04-20,2024-06-17,Maharashtra,13.6
Tata Nexon,White,Petrol,Automatic,1051334.27,2024-07-14,2024-09-10,Tamil Nadu,24.8
Tata Harrier,Grey,CNG,Manual,1394499.54,2024-05-19,2024-08-02,Karnataka,24.6
Tata Harrier,Orange,Petrol,Automatic,529096.42,2024-04-16,2024-05-06,Karnataka,17.4
Tata Harrier,Black,CNG,Manual,1299244.57,2024-07-06,2024-08-02,Delhi,12.4
Tata Harrier,Orange,Electric,Manual,2267453.83,2023-12-13,2024-03-02,Karnataka,14.7
Tata Altroz,Orange,Diesel,Manual,664903.91,2023-10-26,2024-01-03,Tamil Nadu,20.5
Tata Nexon,Black,CNG,Manual,1601348.11,2024-03-28,2024-05-21,Delhi,17.4
Tata Punch,White,Petrol,Automatic,1330382.3,2024-03-20,2024-05-11,West Bengal,13.1
Tata Harrier,Grey,Diesel,Manual,1556588.91,2024-07-11,2024-10-07,Delhi,16.8
Tata Tigor,White,CNG,Automatic,1134327.19,2024-06-29,2024-08-24,Tamil Nadu,22.6
Tata Punch,Blue,CNG,Automatic,2273982.92,2024-01-01,2024-01-20,West Bengal,14.3
Tata Tiago,Black,Diesel,Manual,1910706.36,2023-12-07,2024-02-21,Gujarat,20.6
Tata Harrier,Grey,CNG,Manual,875055.92,2024-01-05,2024-03-05,Gujarat,21.4
Tata Altroz,Black,Petrol,Automatic,856646.97,2023-12-20,2024-01-25,Delhi,24.4
Tata Nexon,Blue,CNG,Automatic,1632195.44,2023-11-29,2024-01-03,West Bengal,18.8
Tata Harrier,Silver,Diesel,Manual,572135.66,2024-03-18,2024-03-21,West Bengal,16.4
Tata Tigor,Red,CNG,Manual,1199163.41,2024-05-01,2024-05-24,Karnataka,11.9
Tata Safari,Black,CNG,Automatic,1337238.45,2024-06-27,2024-08-09,Maharashtra,22.6
Tata Punch,White,Electric,Automatic,2364304.08,2024-07-21,2024-08-10,Uttar Pradesh,21.9
Tata Altroz,Red,CNG,Manual,2439480.87,2023-11-12,2024-01-21,Tamil Nadu,17.5
Tata Tiago,Silver,CNG,Automatic,1834827.51,2024-08-10,2024-08-21,Gujarat,11.4
Tata Safari,White,CNG,Automatic,1842922.71,2023-11-20,2024-01-23,Tamil Nadu,18.6
Tata Tigor,Red,Petrol,Automatic,708149.37,2023-11-02,2023-11-12,Tamil Nadu,10.1
Tata Punch,Black,Electric,Manual,930932.42,2024-07-01,2024-09-02,West Bengal,17.5
Tata Tigor,Silver,Petrol,Automatic,1818219.82,2024-09-06,2024-12-04,Maharashtra,13.1
Tata Nexon,Orange,Electric,Automatic,2042093.18,2024-03-05,2024-05-06,Gujarat,12.8
Tata Tiago,White,Diesel,Automatic,2169035.31,2024-04-04,2024-04-08,Maharashtra,16.7
Tata Tiago,White,Diesel,Manual,663806.43,2023-12-26,2024-01-20,West Bengal,17.3
Tata Nexon,Blue,Electric,Automatic,1401554.79,2024-04-24,2024-07-06,Delhi,12.0
Tata Tigor,Grey,CNG,Automatic,2493467.12,2024-05-19,2024-08-13,Uttar Pradesh,10.7
Tata Tiago,Blue,Electric,Automatic,990610.38,2024-09-05,2024-09-20,Uttar Pradesh,13.6
Tata Safari,Black,Petrol,Manual,1415163.07,2023-11-11,2023-11-26,Maharashtra,19.6
Tata Tiago,Grey,Petrol,Automatic,604986.06,2024-06-28,2024-08-17,West Bengal,15.7
Tata Safari,White,CNG,Automatic,2320824.8,2023-10-22,2023-12-21,West Bengal,24.9
Tata Tigor,Silver,Diesel,Automatic,1696924.7,2024-06-02,2024-08-01,Maharashtra,14.7
Tata Tiago,Silver,Petrol,Manual,964282.2,2023-12-24,2024-01-06,West Bengal,15.9
Tata Tiago,Grey,Petrol,Manual,2078857.0,2024-04-19,2024-06-05,Gujarat,10.6
Tata Tigor,Orange,Petrol,Manual,2072197.56,2024-03-25,2024-05-16,Karnataka,17.8
Tata Tigor,Red,Diesel,Manual,514711.73,2023-10-14,2023-12-12,Uttar Pradesh,24.2
Tata Tigor,Blue,Petrol,Manual,1897430.43,2024-03-14,2024-04-05,Gujarat,11.6
Tata Nexon,Grey,Diesel,Manual,1284248.3,2024-08-24,2024-10-14,Maharashtra,24.3
Tata Nexon,Black,Diesel,Automatic,1247683.92,2024-07-02,2024-08-02,Uttar Pradesh,14.8
Tata Harrier,Grey,Petrol,Manual,2186834.55,2024-04-24,2024-06-30,Gujarat,22.0
Tata Safari,Blue,Diesel,Manual,1651108.31,2024-08-20,2024-09-03,West Bengal,21.8
Tata Altroz,Grey,CNG,Automatic,1104036.32,2024-06-05,2024-06-08,Tamil Nadu,15.8
Tata Altroz,Black,Diesel,Manual,1376869.14,2024-02-23,2024-03-04,West Bengal,22.7
Tata Harrier,Orange,Petrol,Manual,1976767.23,2024-04-08,2024-05-12,West Bengal,18.5
Tata Punch,Red,Diesel,Automatic,1488713.87,2024-08-29,2024-09-10,Tamil Nadu,18.8
Tata Tigor,Black,Diesel,Automatic,2227726.04,2024-07-02,2024-07-18,Tamil Nadu,14.1
Tata Harrier,Black,Electric,Manual,717615.42,2024-05-22,2024-07-28,Uttar Pradesh,18.4
Tata Altroz,Grey,Diesel,Automatic,2058210.07,2024-06-28,2024-08-15,Maharashtra,12.7
Tata Altroz,Red,Petrol,Manual,1739098.45,2024-04-03,2024-05-05,Delhi,18.0
Tata Punch,Black,Petrol,Automatic,2190433.19,2024-06-08,2024-07-15,Tamil Nadu,18.7
Tata Punch,White,Electric,Automatic,1642940.35,2023-10-24,2024-01-20,Delhi,14.6
Tata Safari,Silver,Electric,Automatic,1546661.94,2024-04-05,2024-04-07,Maharashtra,22.1
Tata Altroz,Silver,Electric,Manual,518399.42,2024-01-11,2024-01-18,Delhi,17.1
Tata Safari,White,Petrol,Manual,2206083.83,2024-08-24,2024-11-12,Tamil Nadu,15.3
Tata Tigor,Silver,Diesel,Manual,2292181.32,2024-01-23,2024-02-28,Karnataka,13.5
Tata Nexon,White,Petrol,Automatic,2060071.58,2024-09-13,2024-10-25,Uttar Pradesh,24.5
Tata Altroz,Red,Electric,Automatic,2459822.1,2024-06-08,2024-06-29,Gujarat,18.2
Tata Safari,Blue,CNG,Automatic,2164240.93,2024-07-05,2024-09-23,Karnataka,13.2
Tata Punch,White,CNG,Automatic,2090726.17,2024-02-05,2024-04-01,Uttar Pradesh,10.0
Tata Tiago,Black,Diesel,Automatic,676255.54,2024-01-21,2024-04-05,Maharashtra,24.9
Tata Safari,White,Diesel,Manual,2438625.71,2024-03-04,2024-05-17,Karnataka,20.7
Tata Nexon,Red,Electric,Manual,569049.33,2024-07-29,2024-08-28,Delhi,17.4
Tata Altroz,Orange,CNG,Manual,1416766.81,2023-09-22,2023-12-19,Delhi,20.6
Tata Nexon,Black,Diesel,Automatic,764259.39,2024-04-20,2024-05-05,Maharashtra,20.8
Tata Harrier,Black,CNG,Manual,1724521.34,2024-08-19,2024-09-16,Tamil Nadu,19.7
Tata Altroz,Blue,CNG,Manual,1666730.85,2023-12-17,2024-01-07,Tamil Nadu,16.7
Tata Harrier,Orange,CNG,Manual,2443991.95,2023-10-09,2023-12-14,Gujarat,12.6
Tata Nexon,Orange,Petrol,Manual,1747115.44,2024-03-09,2024-04-24,Delhi,13.6
Tata Altroz,Grey,Electric,Automatic,2304593.69,2024-01-18,2024-02-18,Tamil Nadu,18.6
Tata Safari,White,Electric,Manual,599739.07,2024-07-01,2024-08-29,Karnataka,22.5
Tata Harrier,Black,Petrol,Automatic,1810149.04,2024-08-16,2024-10-09,Tamil Nadu,14.7
Tata Tigor,Grey,Diesel,Manual,1599029.9,2024-03-04,2024-03-22,Uttar Pradesh,22.7
Tata Tigor,Silver,Electric,Automatic,1141199.89,2024-03-25,2024-04-18,Maharashtra,24.8
Tata Nexon,Red,Electric,Automatic,1073783.86,2024-01-18,2024-02-14,Delhi,23.5
Tata Tigor,Grey,Diesel,Manual,1879822.2,2023-12-29,2024-03-07,Tamil Nadu,15.9
Tata Harrier,Orange,Diesel,Manual,2442342.32,2023-11-11,2023-12-05,Gujarat,11.5
Tata Punch,Blue,Electric,Manual,1197720.69,2024-07-18,2024-08-30,Uttar Pradesh,24.0
Tata Punch,Blue,Electric,Automatic,1071089.87,2024-02-17,2024-04-09,Tamil Nadu,10.3
Tata Punch,Grey,Electric,Automatic,646187.1,2024-01-28,2024-04-10,West Bengal,17.9
Tata Tiago,Silver,Electric,Automatic,1443002.35,2024-07-12,2024-09-08,Uttar Pradesh,16.6
Tata Tigor,Black,Diesel,Manual,1623381.08,2024-04-19,2024-06-19,Tamil Nadu,10.1
Tata Safari,Red,Diesel,Automatic,1192458.93,2023-10-23,2023-12-15,Tamil Nadu,18.9
Tata Tiago,White,Petrol,Manual,2228904.08,2023-09-21,2023-12-17,West Bengal,10.2
Tata Tigor,Grey,CNG,Automatic,2169859.55,2024-04-06,2024-05-02,Uttar Pradesh,23.4
Tata Safari,Red,Diesel,Automatic,1792235.04,2024-02-24,2024-03-17,Karnataka,10.5
Tata Punch,Grey,Electric,Automatic,1265051.94,2023-12-16,2023-12-19,Gujarat,21.2
Tata Tiago,Blue,CNG,Manual,1836215.38,2023-10-06,2023-10-25,Tamil Nadu,14.6
Tata Nexon,Blue,CNG,Automatic,2357000.37,2023-09-29,2023-12-27,Tamil Nadu,13.3
Tata Punch,Orange,Electric,Manual,1756469.07,2024-06-26,2024-08-23,Gujarat,24.8
Tata Safari,Black,Electric,Manual,1995015.8,2023-12-12,2024-03-05,Maharashtra,21.6
Tata Safari,White,Diesel,Manual,1241290.68,2024-09-10,2024-11-19,Tamil Nadu,10.1
Tata Tigor,Grey,CNG,Manual,1756850.03,2024-08-27,2024-09-19,Maharashtra,21.3
Tata Tigor,White,Petrol,Automatic,1090442.74,2024-08-17,2024-10-21,Karnataka,23.1
Tata Harrier,White,Diesel,Automatic,1190475.52,2024-02-05,2024-04-15,Maharashtra,19.5
Tata Safari,Grey,Electric,Manual,599351.76,2024-08-31,2024-09-05,Delhi,20.7
Tata Nexon,Grey,Petrol,Automatic,1610707.32,2024-09-03,2024-11-27,Delhi,13.8
Tata Safari,Black,Diesel,Manual,1607399.6,2023-10-14,2024-01-07,Uttar Pradesh,16.0
Tata Tigor,Blue,Petrol,Automatic,773113.85,2024-03-17,2024-05-05,West Bengal,11.9
Tata Nexon,Orange,CNG,Automatic,1868019.99,2024-06-14,2024-06-28,Tamil Nadu,18.1
Tata Tigor,White,Electric,Automatic,765729.53,2024-07-23,2024-07-26,Delhi,12.2
Tata Tigor,Grey,CNG,Automatic,1558873.28,2024-04-30,2024-05-15,Uttar Pradesh,23.9
Tata Harrier,Silver,Diesel,Manual,1803355.77,2023-11-22,2024-01-18,Delhi,22.8
Tata Punch,Orange,Petrol,Manual,1882303.82,2023-10-14,2023-12-21,Tamil Nadu,14.3
Tata Tiago,Grey,Petrol,Manual,1383380.82,2024-06-14,2024-08-01,Karnataka,20.4
Tata Harrier,Silver,Electric,Manual,2390110.32,2024-01-10,2024-04-06,Uttar Pradesh,12.6
Tata Altroz,Red,Diesel,Automatic,1974544.62,2024-06-20,2024-08-21,West Bengal,12.1
Tata Safari,White,Petrol,Automatic,2380187.64,2024-06-17,2024-07-07,Karnataka,15.8
Tata Tiago,Silver,Electric,Automatic,550546.1,2024-02-27,2024-04-18,Maharashtra,17.9
Tata Safari,Black,CNG,Automatic,569445.73,2024-04-15,2024-07-09,Uttar Pradesh,11.9
Tata Tiago,Orange,Diesel,Automatic,1018555.83,2023-09-21,2023-09-25,Maharashtra,11.0
Tata Nexon,Red,Diesel,Manual,1284779.44,2024-01-17,2024-03-06,Maharashtra,11.0
Tata Nexon,Grey,Diesel,Automatic,1272432.78,2023-09-28,2023-12-10,West Bengal,20.3
Tata Altroz,Red,CNG,Automatic,858710.91,2024-07-04,2024-08-16,Delhi,15.2
Tata Altroz,Grey,CNG,Manual,2366864.04,2024-03-19,2024-05-29,West Bengal,23.1
Tata Safari,Red,Electric,Automatic,1970536.55,2023-12-05,2024-02-12,Karnataka,11.0
Tata Altroz,Black,CNG,Manual,1905746.19,2024-08-08,2024-10-01,Karnataka,20.6
Tata Tigor,Silver,Petrol,Manual,2323519.21,2023-12-23,2024-02-19,Maharashtra,22.8
Tata Harrier,Black,Diesel,Manual,2237657.41,2024-09-06,2024-09-07,Maharashtra,21.0
Tata Altroz,Grey,Electric,Automatic,1851900.3,2023-11-15,2024-01-20,Maharashtra,24.9
Tata Safari,Orange,Diesel,Manual,2189300.38,2024-04-01,2024-05-22,Delhi,11.7
Tata Tiago,White,Electric,Manual,1285271.37,2023-12-22,2024-02-25,Delhi,19.9
Tata Tiago,Grey,Electric,Manual,1508011.76,2024-05-01,2024-07-29,Karnataka,21.9
Tata Tigor,White,Electric,Automatic,1260268.7,2024-09-09,2024-09-13,Maharashtra,20.8
Tata Harrier,Red,CNG,Manual,1273900.63,2024-01-15,2024-02-16,Tamil Nadu,15.9
Tata Safari,Black,Petrol,Automatic,1542114.32,2024-05-31,2024-07-05,Maharashtra,10.8
Tata Tigor,White,CNG,Manual,1403797.82,2023-12-03,2024-01-25,Uttar Pradesh,15.9
Tata Harrier,Grey,Diesel,Automatic,2064110.9,2024-05-31,2024-08-09,Delhi,23.6
Tata Altroz,Black,Electric,Manual,945055.1,2024-02-26,2024-02-29,West Bengal,11.6
Tata Safari,Red,Petrol,Automatic,1092149.46,2023-10-06,2023-10-08,Tamil Nadu,23.6
Tata Nexon,White,Petrol,Manual,1207815.92,2024-01-12,2024-03-10,Delhi,24.2
Tata Altroz,Silver,Electric,Manual,1289409.77,2024-07-01,2024-09-05,West Bengal,18.7
Tata Punch,Blue,Petrol,Manual,2250630.36,2024-02-14,2024-05-03,Gujarat,24.0
Tata Punch,Grey,Diesel,Automatic,2314486.34,2024-06-08,2024-08-20,Delhi,24.1
Tata Tiago,Black,Diesel,Manual,1108273.03,2024-06-22,2024-09-20,Uttar Pradesh,24.7
Tata Harrier,White,Diesel,Manual,1008613.49,2023-11-25,2024-02-06,Delhi,10.9
Tata Safari,White,Petrol,Automatic,2116888.25,2024-03-24,2024-05-14,Uttar Pradesh,20.5
Tata Punch,Red,CNG,Automatic,1112900.32,2023-10-17,2023-11-29,Delhi,17.6
Tata Tigor,Red,CNG,Automatic,718103.01,2024-01-19,2024-03-14,Maharashtra,24.0
Tata Nexon,White,Electric,Manual,940417.15,2023-10-27,2024-01-22,Maharashtra,14.2
Tata Tiago,Silver,Petrol,Manual,1711693.5,2023-12-08,2024-03-03,Maharashtra,21.7
Tata Punch,White,Diesel,Manual,2253806.92,2024-05-05,2024-07-19,Uttar Pradesh,22.0
Tata Punch,White,Petrol,Automatic,2180413.23,2024-01-26,2024-04-11,Delhi,20.5
Tata Punch,Silver,Petrol,Automatic,1772980.73,2023-10-15,2023-12-23,Tamil Nadu,22.9
Tata Tiago,Orange,Petrol,Automatic,1165883.95,2024-05-24,2024-07-19,Tamil Nadu,18.0
Tata Nexon,Silver,Petrol,Manual,2020974.94,2024-08-26,2024-10-30,West Bengal,18.9
Tata Altroz,Orange,Diesel,Manual,557449.83,2024-01-20,2024-01-30,West Bengal,17.8
Tata Safari,Orange,Petrol,Automatic,2499350.57,2024-08-12,2024-11-04,Delhi,23.2
Tata Altroz,Orange,CNG,Manual,1457367.42,2024-03-05,2024-03-20,Karnataka,14.1
Tata Tigor,Silver,Petrol,Manual,1298503.49,2024-08-12,2024-09-13,Karnataka,20.2
Tata Tiago,Orange,Electric,Manual,1958403.3,2024-05-11,2024-05-16,Gujarat,14.9
Tata Tiago,Blue,Electric,Automatic,1967030.85,2024-03-03,2024-03-15,Delhi,20.7
Tata Altroz,Blue,Diesel,Manual,1797765.62,2024-02-07,2024-02-28,Gujarat,20.8
Tata Punch,Silver,Electric,Manual,1286668.86,2023-12-14,2024-01-20,Tamil Nadu,18.9
Tata Punch,Silver,Electric,Manual,1354960.82,2024-05-12,2024-06-14,Uttar Pradesh,14.6
Tata Harrier,White,CNG,Manual,1781715.23,2023-12-28,2024-03-18,Uttar Pradesh,21.9
Tata Safari,Red,Diesel,Manual,2309974.07,2024-04-23,2024-05-15,Delhi,22.5
Tata Tigor,White,Electric,Manual,1638950.68,2023-12-20,2024-01-12,Tamil Nadu,11.6
Tata Harrier,Red,Petrol,Automatic,1869112.98,2024-07-28,2024-10-20,Gujarat,19.0
Tata Harrier,Blue,Diesel,Automatic,2357400.91,2024-02-13,2024-03-18,West Bengal,14.9
Tata Harrier,Orange,CNG,Manual,1528746.63,2023-11-29,2024-02-06,Tamil Nadu,15.6
Tata Punch,Grey,Petrol,Automatic,1761997.37,2024-07-07,2024-10-04,Gujarat,24.5
Tata Tigor,Grey,Diesel,Manual,1911170.42,2023-11-27,2024-01-07,Gujarat,11.9
Tata Harrier,Silver,Petrol,Automatic,2033201.6,2024-02-03,2024-05-01,Tamil Nadu,11.1
Tata Safari,Black,CNG,Manual,543693.27,2023-09-21,2023-11-24,Delhi,24.1
Tata Altroz,Red,Diesel,Automatic,935524.49,2024-04-20,2024-05-13,Tamil Nadu,21.1
Tata Nexon,Orange,Petrol,Manual,943500.9,2024-05-22,2024-07-17,Delhi,20.9
Tata Harrier,Black,Petrol,Manual,785949.23,2024-06-02,2024-07-04,Gujarat,15.1
Tata Tigor,White,Diesel,Automatic,1907191.33,2024-06-24,2024-07-15,Tamil Nadu,22.1
Tata Safari,Silver,Diesel,Automatic,1465870.88,2024-08-06,2024-10-21,Karnataka,11.5
Tata Altroz,Grey,CNG,Manual,695905.24,2023-11-23,2024-01-01,Gujarat,19.1
Tata Harrier,Orange,Electric,Automatic,1110482.01,2024-06-03,2024-08-13,Karnataka,24.4
Tata Tiago,Orange,Electric,Automatic,512576.1,2024-03-08,2024-04-23,Maharashtra,11.6
Tata Nexon,Red,Electric,Manual,1686047.41,2024-01-21,2024-02-12,Tamil Nadu,21.9
Tata Nexon,Orange,Diesel,Manual,2062858.36,2024-04-01,2024-04-13,Karnataka,15.3
Tata Punch,Black,Petrol,Automatic,2158240.75,2024-06-16,2024-08-29,Karnataka,16.7
Tata Safari,White,Electric,Manual,533850.14,2024-03-23,2024-03-28,Gujarat,18.1
Tata Altroz,Orange,Diesel,Manual,2395330.89,2023-11-24,2024-01-03,West Bengal,14.5
Tata Tiago,Grey,Electric,Automatic,2021851.25,2024-01-20,2024-02-14,Karnataka,16.0
Tata Tiago,Silver,Petrol,Automatic,1090957.55,2024-09-02,2024-10-31,Uttar Pradesh,24.6
Tata Tigor,Black,Petrol,Automatic,1372287.91,2024-02-19,2024-03-02,West Bengal,11.5
Tata Safari,Blue,Diesel,Manual,835831.5,2024-04-03,2024-05-14,Gujarat,14.3
Tata Altroz,Blue,Diesel,Manual,598154.06,2024-03-02,2024-05-13,Tamil Nadu,14.1
Tata Tigor,Black,Electric,Automatic,657671.44,2024-08-22,2024-11-09,Uttar Pradesh,23.6
Tata Safari,Grey,Petrol,Automatic,1776639.14,2023-10-03,2023-10-17,Maharashtra,23.2
Tata Tiago,Orange,Petrol,Manual,2306933.52,2024-04-11,2024-06-18,Uttar Pradesh,20.1
Tata Harrier,White,Petrol,Manual,931755.87,2023-12-16,2024-01-01,Uttar Pradesh,16.8
Tata Safari,Blue,Electric,Manual,1114175.42,2024-08-24,2024-09-08,Tamil Nadu,17.9
Tata Safari,Red,Diesel,Manual,914668.19,2024-01-26,2024-04-05,Delhi,18.5
Tata Punch,Grey,CNG,Automatic,1037177.98,2024-04-08,2024-05-06,Delhi,12.6
Tata Tiago,Red,Electric,Manual,2423686.36,2024-07-26,2024-09-23,West Bengal,21.9
Tata Altroz,White,CNG,Manual,1977383.93,2024-04-10,2024-05-28,Tamil Nadu,15.4
Tata Harrier,Orange,Electric,Automatic,831835.85,2024-04-18,2024-05-29,Delhi,21.5
Tata Nexon,Silver,Diesel,Manual,989410.59,2024-02-07,2024-03-10,Karnataka,12.1
Tata Tigor,Grey,CNG,Automatic,1615491.76,2024-05-09,2024-07-26,Tamil Nadu,21.5
Tata Tigor,Silver,Electric,Automatic,1603596.56,2024-03-25,2024-04-13,Karnataka,14.0
Tata Tiago,Blue,Electric,Automatic,1593773.06,2024-07-12,2024-08-20,Gujarat,17.4
Tata Tigor,White,Petrol,Manual,2009414.98,2023-12-31,2024-03-20,West Bengal,12.6
Tata Safari,Grey,Diesel,Manual,2037163.86,2023-09-25,2023-10-13,Uttar Pradesh,20.9
Tata Altroz,Orange,CNG,Manual,568515.01,2024-04-15,2024-04-21,West Bengal,12.1
Tata Punch,Grey,Diesel,Automatic,1228773.93,2023-11-27,2024-02-05,Tamil Nadu,13.5
Tata Altroz,Orange,Petrol,Manual,1607499.01,2023-12-30,2024-01-31,Delhi,18.8
Tata Punch,Orange,CNG,Automatic,681758.2,2023-09-22,2023-09-28,Uttar Pradesh,18.2
Tata Punch,Silver,Electric,Manual,2437225.06,2024-07-01,2024-08-09,Maharashtra,10.2
Tata Nexon,White,Petrol,Manual,761012.55,2023-10-23,2023-12-23,Karnataka,13.1
Tata Tiago,White,Petrol,Automatic,513233.88,2023-12-26,2024-01-05,Karnataka,12.7
Tata Tigor,Blue,Electric,Manual,1954532.69,2024-01-12,2024-03-12,Uttar Pradesh,21.2
Tata Harrier,Blue,CNG,Manual,1354503.59,2023-12-21,2024-01-29,Tamil Nadu,20.7
Tata Punch,Orange,Petrol,Automatic,2250986.66,2024-03-24,2024-04-30,Gujarat,16.3
Tata Punch,White,Electric,Automatic,1504851.82,2023-09-19,2023-12-18,Karnataka,24.7
Tata Punch,Blue,Petrol,Manual,1486852.07,2024-07-23,2024-08-10,West Bengal,17.6
Tata Harrier,Blue,Electric,Automatic,621745.18,2024-01-07,2024-01-27,West Bengal,17.6
Tata Altroz,Grey,CNG,Automatic,2118136.88,2023-09-22,2023-10-30,Maharashtra,18.7
Tata Safari,Black,Electric,Manual,1230135.76,2024-05-09,2024-06-26,Maharashtra,12.8
Tata Tigor,Grey,Petrol,Automatic,1031458.61,2023-09-30,2023-10-20,Tamil Nadu,15.3
Tata Tigor,Red,Petrol,Automatic,2348343.33,2024-08-20,2024-10-20,Maharashtra,20.3
Tata Altroz,Orange,Electric,Automatic,836189.36,2024-07-21,2024-07-29,Maharashtra,22.0
Tata Safari,Orange,Electric,Manual,2471769.32,2024-08-30,2024-10-02,West Bengal,12.7
Tata Punch,Black,Diesel,Manual,1111761.46,2023-11-28,2024-01-30,Gujarat,14.4
