model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tata Altroz,XZ,Silver,Petrol,Automatic,647610.77,2022-11-15,2023-01-11,Delhi,22.9,1.9,0,0,5,165.5,431
Tata Nexon,XZ,Silver,Diesel,Manual,871715.75,2024-03-30,2024-08-05,Madhya Pradesh,20.4,1.7,0,0,5,177.8,385
Tata Harrier,XE,Green,Petrol,Manual,1892258.11,2024-03-12,2024-05-12,Gujarat,15.2,1.8,0,0,7,179.1,373
Tata Nexon,XE,Black,Diesel,Manual,1277318.68,2023-03-27,2023-04-17,Karnataka,19.5,1.0,0,0,5,179.6,294
Tata Harrier,XZ+ Lux,Green,Petrol,Manual,2100668.88,2023-02-06,2023-04-30,Kerala,14.1,1.6,0,0,5,196.0,425
Tata Nexon,XM,Red,Electric,Automatic,1059748.8,2022-11-10,2022-11-16,Kerala,19.5,0,40.4,9.3,5,180.0,260
Tata Tigor,XE,Grey,Diesel,Automatic,798481.96,2023-04-24,2023-05-16,Karnataka,19.4,1.6,0,0,5,196.1,310
Tata Nexon,XM,Green,Petrol,Manual,1107655.76,2024-08-02,2024-11-27,Telangana,17.8,1.2,0,0,5,181.0,324
Tata Harrier,XE,Blue,Petrol,Manual,1781847.76,2022-10-10,2022-10-18,Bihar,16.3,1.6,0,0,5,189.7,293
Tata Harrier,XZ+ Lux,White,Petrol,Manual,1626721.3,2023-03-15,2023-07-06,Kerala,15.7,1.1,0,0,7,177.3,353
Tata Nexon,XZ+ Lux,Black,Electric,Manual,1395229.25,2022-11-24,2023-02-24,Bihar,17.3,0,33.8,9.6,5,201.7,374
Tata Harrier,XZ+,Blue,Petrol,Manual,1419084.59,2023-12-12,2024-05-22,Maharashtra,14.4,1.8,0,0,7,191.1,360
Tata Altroz,XZ,Copper,Diesel,Automatic,938136.7,2023-06-09,2023-06-22,Gujarat,20.6,1.2,0,0,5,193.3,272
Tata Tiago,XE,Black,Diesel,Manual,707848.92,2023-09-26,2024-03-01,Haryana,20.0,1.3,0,0,5,209.6,444
Tata Safari,XZ+,White,Diesel,Manual,1633810.29,2023-10-01,2023-10-11,Karnataka,15.5,1.0,0,0,5,188.3,411
Tata Tigor,XZ,Orange,Petrol,Manual,844174.12,2023-10-16,2024-01-20,Tamil Nadu,21.6,1.7,0,0,5,207.8,432
Tata Safari,XZ+,Copper,Diesel,Manual,1571710.47,2024-03-25,2024-06-25,Punjab,16.2,1.7,0,0,5,206.3,426
Tata Nexon,XM,Orange,Petrol,Manual,1206368.73,2024-06-11,2024-11-07,Rajasthan,17.9,1.1,0,0,5,183.7,309
Tata Nexon,XZ+,Black,Diesel,Manual,705663.74,2023-07-28,2023-08-25,Delhi,21.5,1.5,0,0,5,189.1,321
Tata Punch,XE,Green,Diesel,Automatic,641799.31,2023-07-22,2023-12-25,Madhya Pradesh,22.6,2.0,0,0,5,185.4,411
Tata Harrier,XZ,Bronze,Petrol,Manual,2297333.18,2022-12-12,2023-02-14,Uttar Pradesh,14.5,2.0,0,0,7,177.9,288
Tata Nexon,XE,Red,Diesel,Manual,875736.55,2023-09-15,2024-03-05,Haryana,18.8,1.9,0,0,5,209.3,405
Tata Tigor,XZ+ Lux,Blue,Petrol,Manual,811119.52,2023-09-08,2023-11-12,Haryana,19.6,1.0,0,0,5,185.8,256
Tata Safari,XZ+,Orange,Petrol,Automatic,2271305.25,2024-05-04,2024-05-24,Maharashtra,15.7,1.6,0,0,7,186.3,366
Tata Altroz,XZ+,White,Diesel,Manual,709241.61,2023-08-01,2023-09-14,Madhya Pradesh,22.4,1.3,0,0,5,175.5,369
Tata Harrier,XE,Green,Petrol,Automatic,2162751.46,2023-01-31,2023-02-02,Karnataka,15.4,1.1,0,0,7,190.6,423
Tata Safari,XZ+ Lux,Silver,Electric,Automatic,2201731.87,2024-01-12,2024-03-08,Karnataka,16.4,0,49.6,8.1,5,193.1,289
Tata Tigor,XZ+,Silver,Diesel,Manual,719695.56,2022-11-22,2022-12-10,Haryana,23.9,1.3,0,0,5,188.9,447
Tata Altroz,XZ+ Lux,Black,Petrol,Manual,919619.33,2023-11-02,2023-11-13,West Bengal,19.0,1.8,0,0,5,184.8,390
Tata Nexon,XZ,Orange,Electric,Manual,964073.94,2022-12-10,2023-01-06,Kerala,16.2,0,46.6,8.1,5,190.6,425
Tata Altroz,XZ+,Blue,Electric,Manual,734780.59,2024-01-04,2024-04-27,Madhya Pradesh,19.4,0,44.3,8.6,5,205.1,353
Tata Tiago,XZ+ Lux,White,Electric,Manual,646840.03,2024-06-23,2024-11-11,Karnataka,25.5,0,32.7,8.5,5,196.0,348
Tata Tiago,XZ+,Copper,Diesel,Automatic,566927.59,2024-01-26,2024-05-04,Odisha,25.9,1.8,0,0,5,184.8,436
Tata Safari,XM,Blue,Diesel,Manual,2402719.42,2024-03-16,2024-04-18,Gujarat,16.0,2.0,0,0,5,202.7,323
Tata Tiago,XZ+,Grey,Petrol,Automatic,760481.67,2023-01-31,2023-05-08,Bihar,22.0,1.6,0,0,5,168.1,371
Tata Nexon,XE,Orange,Petrol,Automatic,1157756.89,2022-11-11,2023-02-26,Tamil Nadu,20.2,1.2,0,0,5,207.7,308
Tata Punch,XZ,White,Diesel,Manual,757647.62,2023-04-29,2023-10-16,Telangana,21.4,1.7,0,0,5,201.4,309
Tata Harrier,XZ+ Lux,Red,Petrol,Automatic,1727974.86,2024-08-04,2024-12-05,West Bengal,14.3,1.2,0,0,7,167.2,260
Tata Punch,XZ,Copper,Petrol,Automatic,682011.64,2023-06-21,2023-10-03,Maharashtra,18.6,1.7,0,0,5,204.7,374
Tata Tiago,XZ+,Orange,Diesel,Manual,527887.04,2024-07-13,2024-09-30,Telangana,23.1,1.1,0,0,5,170.6,396
Tata Safari,XM,Black,Diesel,Manual,1554181.22,2022-12-28,2023-02-19,Bihar,14.3,1.7,0,0,5,201.8,392
Tata Punch,XZ+ Lux,Green,Diesel,Manual,883006.41,2024-06-13,2024-07-28,West Bengal,20.3,1.9,0,0,5,207.3,302
Tata Punch,XZ+ Lux,Bronze,Diesel,Manual,680125.84,2023-01-21,2023-03-03,Tamil Nadu,18.9,1.9,0,0,5,197.5,410
Tata Safari,XZ+ Lux,Silver,Petrol,Manual,2271132.67,2024-04-17,2024-06-04,Uttar Pradesh,15.1,1.9,0,0,7,208.0,252
Tata Safari,XZ+ Lux,Red,Petrol,Manual,2483879.86,2023-10-21,2024-03-17,Uttar Pradesh,14.7,1.7,0,0,5,175.7,381
Tata Harrier,XM,Green,Petrol,Automatic,2322660.56,2023-10-24,2023-12-24,Haryana,16.0,1.8,0,0,7,178.6,439
Tata Safari,XZ+ Lux,Grey,Petrol,Automatic,1952219.0,2023-07-12,2023-10-06,Haryana,15.9,1.1,0,0,5,184.7,394
Tata Tiago,XZ+ Lux,Green,Petrol,Manual,608689.07,2024-01-25,2024-02-20,Punjab,24.0,1.8,0,0,5,179.5,354
Tata Tigor,XE,Orange,Petrol,Manual,876908.12,2024-06-03,2024-07-03,Uttar Pradesh,24.4,1.4,0,0,5,206.6,346
Tata Altroz,XM,Silver,CNG,Automatic,716598.58,2022-12-23,2023-03-01,West Bengal,23.9,2.0,0,0,5,165.9,298
Tata Tigor,XZ+,Copper,Petrol,Automatic,836657.83,2023-06-29,2023-08-29,Tamil Nadu,20.2,1.8,0,0,5,196.6,331
Tata Altroz,XZ+ Lux,Orange,Diesel,Manual,623852.69,2023-08-17,2023-10-25,Rajasthan,21.9,1.4,0,0,5,169.2,397
Tata Safari,XZ+ Lux,Blue,Petrol,Manual,1506716.8,2024-01-12,2024-01-17,Delhi,14.4,1.0,0,0,7,201.7,404
Tata Altroz,XZ,Blue,Petrol,Manual,849768.57,2023-07-28,2024-01-14,Bihar,23.8,1.3,0,0,5,170.4,407
Tata Tigor,XZ+ Lux,Green,Petrol,Automatic,942657.84,2024-07-29,2024-08-20,Odisha,23.0,1.6,0,0,5,207.7,280
Tata Altroz,XM,Grey,Petrol,Automatic,871491.73,2023-06-19,2023-11-29,Karnataka,20.3,1.3,0,0,5,182.6,396
Tata Nexon,XZ,White,Petrol,Manual,1194905.2,2024-02-05,2024-07-19,Delhi,17.2,1.6,0,0,5,196.1,339
Tata Tiago,XZ,Copper,Diesel,Manual,651374.6,2022-10-21,2023-01-12,Delhi,21.4,1.9,0,0,5,177.1,400
Tata Punch,XE,Green,Diesel,Manual,828869.31,2023-05-29,2023-09-12,Odisha,23.9,1.6,0,0,5,194.9,427
Tata Safari,XZ+ Lux,Bronze,Electric,Automatic,1893499.33,2023-07-23,2023-11-05,Gujarat,14.7,0,46.5,6.1,7,193.2,286
Tata Tigor,XZ+,Bronze,Petrol,Manual,654640.88,2024-05-23,2024-09-13,Madhya Pradesh,23.8,1.4,0,0,5,172.3,329
Tata Nexon,XM,Copper,Petrol,Automatic,1182580.68,2022-09-24,2023-01-09,Madhya Pradesh,19.6,1.9,0,0,5,179.9,271
Tata Tiago,XE,Bronze,Petrol,Manual,656150.64,2024-03-01,2024-06-13,Gujarat,25.0,1.3,0,0,5,210.0,363
Tata Altroz,XZ,Grey,Electric,Automatic,631904.88,2023-04-09,2023-05-24,West Bengal,24.4,0,42.8,9.5,5,191.5,419
Tata Safari,XM,Grey,Petrol,Manual,1652911.33,2023-09-10,2024-01-13,Gujarat,15.1,2.0,0,0,5,201.3,331
Tata Nexon,XZ+,Orange,Petrol,Manual,1337064.24,2024-04-23,2024-08-24,Telangana,19.3,1.8,0,0,5,183.1,254
Tata Safari,XZ+ Lux,Grey,Diesel,Manual,1675011.62,2024-08-26,2024-12-26,Telangana,16.1,1.6,0,0,7,186.8,256
Tata Punch,XZ+ Lux,Black,Diesel,Automatic,623260.17,2022-12-18,2023-03-01,Uttar Pradesh,20.8,1.3,0,0,5,177.5,290
Tata Harrier,XZ,Black,Petrol,Manual,2318497.05,2023-01-31,2023-04-20,Punjab,15.9,1.1,0,0,5,185.2,352
Tata Tigor,XE,Red,Petrol,Automatic,854192.11,2023-07-31,2023-10-14,Telangana,19.1,2.0,0,0,5,195.8,374
Tata Nexon,XZ+,Bronze,Petrol,Manual,995929.05,2024-06-07,2024-11-12,Telangana,16.2,1.5,0,0,5,165.8,343
Tata Punch,XZ,Bronze,Diesel,Automatic,964723.08,2023-10-29,2023-12-01,Kerala,18.6,1.8,0,0,5,170.9,253
Tata Tiago,XE,Orange,Diesel,Automatic,697668.41,2023-01-28,2023-07-22,West Bengal,22.5,1.6,0,0,5,168.9,325
Tata Safari,XZ+,Red,Petrol,Automatic,2002803.53,2022-11-28,2023-01-22,Madhya Pradesh,15.5,1.2,0,0,7,204.2,425
Tata Altroz,XZ+,Orange,Petrol,Manual,803464.97,2024-01-03,2024-02-02,Tamil Nadu,19.5,1.7,0,0,5,184.2,443
Tata Punch,XM,White,Petrol,Manual,973139.16,2023-02-25,2023-03-18,West Bengal,20.9,1.5,0,0,5,191.5,296
Tata Altroz,XZ+ Lux,Silver,CNG,Manual,740373.74,2023-11-03,2024-04-30,Madhya Pradesh,23.6,1.7,0,0,5,198.0,378
Tata Harrier,XE,Red,Diesel,Manual,2106613.24,2022-11-16,2022-11-20,Tamil Nadu,16.3,1.3,0,0,7,170.7,390
Tata Tiago,XZ+ Lux,Black,Petrol,Automatic,627021.54,2024-08-25,2024-09-21,Kerala,20.6,1.9,0,0,5,171.7,278
Tata Tigor,XM,Bronze,Diesel,Automatic,693472.41,2023-08-19,2024-01-04,Uttar Pradesh,23.7,1.1,0,0,5,187.9,368
Tata Tigor,XE,Grey,Electric,Manual,843990.78,2022-11-27,2023-05-23,Gujarat,23.3,0,42.2,7.0,5,180.4,407
Tata Tigor,XZ,White,Diesel,Manual,919250.46,2023-11-14,2023-11-15,Gujarat,22.4,1.4,0,0,5,205.3,288
Tata Safari,XZ+,Copper,Petrol,Automatic,1654444.05,2023-02-12,2023-05-01,Maharashtra,14.7,1.5,0,0,5,197.6,337
Tata Punch,XZ+ Lux,Black,Diesel,Automatic,635986.49,2023-12-08,2024-04-09,Telangana,18.5,1.9,0,0,5,206.6,380
Tata Tigor,XM,Green,Petrol,Manual,744124.12,2023-11-20,2023-12-06,Uttar Pradesh,19.7,1.4,0,0,5,206.6,352
Tata Tiago,XZ,White,Petrol,Automatic,740731.02,2023-10-13,2023-11-15,Maharashtra,24.0,1.2,0,0,5,167.9,266
Tata Safari,XE,White,Diesel,Automatic,1610498.97,2024-03-23,2024-05-10,Madhya Pradesh,15.3,1.5,0,0,5,195.1,437
Tata Harrier,XE,Grey,Diesel,Automatic,1627612.88,2023-05-22,2023-05-31,Tamil Nadu,15.2,1.6,0,0,5,188.3,419
Tata Safari,XZ+,Black,Diesel,Manual,1964454.79,2023-05-22,2023-06-02,Odisha,15.6,1.8,0,0,7,194.2,436
Tata Safari,XZ,Silver,Petrol,Automatic,1658067.86,2023-12-13,2023-12-22,Punjab,14.1,1.8,0,0,7,184.7,259
Tata Nexon,XZ+ Lux,Copper,Petrol,Automatic,757363.2,2022-09-29,2022-10-29,Kerala,17.8,2.0,0,0,5,191.7,314
Tata Punch,XZ,Red,Petrol,Manual,800499.87,2023-01-04,2023-05-21,Haryana,18.1,1.9,0,0,5,208.9,410
Tata Nexon,XZ+,Blue,Diesel,Automatic,1078228.02,2024-03-30,2024-09-15,Bihar,19.8,1.5,0,0,5,190.8,409
Tata Tigor,XZ,Silver,Diesel,Manual,689807.19,2023-08-12,2023-09-20,West Bengal,19.3,1.9,0,0,5,199.6,441
Tata Altroz,XE,Blue,Petrol,Manual,691313.93,2023-04-05,2023-08-17,Madhya Pradesh,20.3,1.0,0,0,5,193.8,296
Tata Altroz,XZ+ Lux,Orange,Electric,Manual,935470.43,2022-11-16,2023-03-01,Rajasthan,24.0,0,36.6,6.5,5,176.6,441
Tata Tigor,XZ+ Lux,Black,Petrol,Automatic,929105.95,2022-12-17,2023-05-05,Madhya Pradesh,20.4,1.1,0,0,5,181.5,287
Tata Punch,XZ+,Red,Petrol,Manual,735238.44,2023-08-29,2024-01-26,West Bengal,21.5,2.0,0,0,5,209.2,357
Tata Safari,XM,Silver,Diesel,Manual,1889385.63,2024-09-15,2025-03-10,Maharashtra,14.0,1.3,0,0,5,184.9,282
Tata Altroz,XZ+,Bronze,Diesel,Manual,915304.05,2023-03-03,2023-06-04,Madhya Pradesh,21.9,1.9,0,0,5,173.0,372
Tata Punch,XZ+,Orange,Electric,Manual,764254.86,2023-10-20,2023-10-23,Maharashtra,21.8,0,46.4,7.5,5,209.5,270
Tata Harrier,XZ+,Black,Petrol,Manual,2227498.14,2024-03-29,2024-05-23,Rajasthan,16.0,1.2,0,0,7,206.2,411
Tata Altroz,XM,Bronze,Petrol,Automatic,721729.93,2023-10-07,2023-10-15,West Bengal,23.3,2.0,0,0,5,173.4,317
Tata Tigor,XZ+,Grey,CNG,Automatic,775728.31,2024-02-10,2024-07-25,Karnataka,22.0,1.1,0,0,5,199.2,276
Tata Harrier,XZ+,Green,Petrol,Automatic,2194094.43,2023-06-24,2023-09-02,Telangana,15.3,1.8,0,0,5,195.9,265
Tata Punch,XM,White,Diesel,Manual,648171.37,2022-11-24,2022-12-28,Haryana,20.9,1.9,0,0,5,201.2,321
Tata Nexon,XZ+,Black,Petrol,Manual,1160550.86,2024-08-01,2024-10-17,Maharashtra,21.4,1.5,0,0,5,196.7,437
Tata Altroz,XZ+ Lux,Copper,Petrol,Manual,843189.9,2023-09-19,2023-10-27,Uttar Pradesh,20.8,1.2,0,0,5,170.8,255
Tata Safari,XE,Orange,Petrol,Manual,2018171.05,2023-11-23,2024-04-19,Maharashtra,14.4,1.6,0,0,7,183.0,279
Tata Tigor,XZ+,Green,Petrol,Manual,943755.06,2024-01-14,2024-07-09,Bihar,20.8,2.0,0,0,5,203.3,358
Tata Tigor,XM,Bronze,Electric,Manual,921121.32,2024-06-10,2024-06-26,Madhya Pradesh,22.8,0,35.6,7.7,5,208.9,284
Tata Altroz,XZ+ Lux,Grey,Petrol,Automatic,930299.5,2023-09-14,2024-01-04,Tamil Nadu,19.6,1.1,0,0,5,175.7,268
Tata Tigor,XZ+ Lux,Orange,Petrol,Automatic,928586.2,2024-09-02,2025-01-21,Uttar Pradesh,24.8,1.9,0,0,5,193.7,397
